番号,質問,選択肢1,説明_1,選択肢2,説明_2,選択肢3,説明_3,選択肢4,説明_4,選択肢5,説明_5,correct,domain
135,データの財務価値を計算するアプローチではないものは何ですか?,データが欠落した場合の組織への影響,データが欠落した場合の組織への影響は、データの財務価値を計算するためのアプローチの一つです。この要素は、データが利用できないことが業務運営、意思決定プロセス、そして組織全体のパフォーマンスに及ぼす影響を考慮します。,データに関連するリスク軽減コストと潜在的リスクコスト,データに関連するリスク軽減コストと潜在的リスクコストは、データの財務価値を計算するためのアプローチです。これには、データセキュリティ対策の実施、データ保護規制の遵守、そしてデータの価値に影響を与える可能性のある潜在的リスクへの対処に関連する費用が含まれます。,データ担当者の給料,データ担当者の給与は、データの経済的価値の算出に直接関係するものではありません。データ専門家の専門知識とスキルは貴重ですが、彼らの給与はデータ自体の経済的価値を反映しているわけではありません。,データの取得と保存にかかるコスト,データの取得と保管にかかるコストは、データの経済的価値を計算するための手法の一つです。このコストには、データの取得、データ保管インフラの維持、データセキュリティの確保に関連する費用が含まれます。,データが失われた場合の交換コスト,データが失われた場合のデータの交換コストは、データの経済的価値を計算するためのアプローチです。このコストは、データ復旧作業、失われたデータの再作成、潜在的な業務中断など、データ損失に関連する潜在的な費用を反映しています。,3,1 Data Management
136,DaaSで使用されるインタラクション方法,バス,バスアーキテクチャとは、すべてのデータが共有メディアを介して流れる中央通信チャネルを指します。これは一部のDaaS実装で使用できますが、パブリッシュ・サブスクライブのようなDaaSに一般的に関連付けられる特定のインタラクション方式ではありません。,ハブアンドスポーク,ハブアンドスポークアーキテクチャは、中央ハブを介して複数のスポークまたはエンドポイントを接続し、データ交換を行うアーキテクチャです。このアーキテクチャはデータ管理システムで使用できますが、パブリッシュ・サブスクライブのようなDaaSプロバイダーで一般的に使用される特定のインタラクション方式ではありません。,パブリッシュ・サブスクライブ,パブリッシュ・サブスクライブは、データ・アズ・ア・サービス（DaaS）でよく使用されるインタラクション方式です。データプロバイダーがトピックにデータをパブリッシュし、サブスクライバーがそのトピックからデータを受信します。この方式により、データのプロデューサーとコンシューマーの分離が可能になり、DaaS環境におけるリアルタイムのデータ配信とスケーラビリティが実現します。,ポイントツーポイント,ポイントツーポイント通信は、2つのエンドポイント間の直接接続によってデータ交換を行います。この方法はメッセージングシステムでよく使用されますが、パブリッシュ・サブスクライブのようなDaaSインタラクション方式とは特に関連がありません。,標準モデル,標準モデルとは、異なるシステム間の相互運用性を実現するためのデータ構造とセマンティクスの標準的な表現を指します。データの統合と一貫性にとって重要ですが、パブリッシュ・サブスクライブのようなDaaSプロバイダーが使用する特定のインタラクション手法ではありません。,3,8 Data Integration & Interoperability
137,マスター データ管理などの分散統合プロジェクトにはどのようなタイプのデータベース アーキテクチャを使用できますか?,分散型,分散データベースアーキテクチャでは、ネットワーク内の複数のノードにデータを保存することで、スケーラビリティとフォールトトレランスを実現します。このアーキテクチャは分散統合プロジェクトで使用できますが、マスターデータ管理などの統一されたデータビューを必要とするプロジェクトには適していない可能性があります。,ベース,BASE（Basically Available、Soft State、Eventual Consistent）は、ACIDに代わるアプローチであり、厳密な一貫性よりも可用性と分断耐性を優先します。BASEは特定の分散システムで使用される場合もありますが、マスターデータ管理などの分散統合プロジェクトで一般的に使用されるデータベースアーキテクチャではありません。,酸,ACID（原子性、一貫性、独立性、永続性）は、データベーストランザクションが確実に処理されることを保証する一連の特性です。ACID準拠はデータの整合性にとって重要ですが、マスターデータ管理のような分散統合プロジェクトに適した特定のデータベースアーキテクチャではありません。,フェデレーション,フェデレーテッドデータベースアーキテクチャは、複数の自律型データベースシステムを単一の統合ビューに統合することを可能にします。このタイプのアーキテクチャは、マスターデータ管理などの分散統合プロジェクトでよく使用され、さまざまなソースからのデータを統合し、シームレスにアクセスする必要があります。,ブロックチェーン,ブロックチェーンアーキテクチャは、主に安全で透明性の高い取引に利用される、分散型台帳技術です。ブロックチェーンはデータ管理にも活用できますが、マスターデータ管理のような分散統合プロジェクトでは、通常は最適なアーキテクチャとは言えません。,4,6 Data Storage and Operations
138,DII ソリューションの開発プロセス中に、管理する必要があるどのような貴重なリソースが発見されますか?,マッピング,マッピングは、異なるデータソースとターゲット間の関係性と変換を定義するものであり、データ統合の取り組みにおいて極めて重要です。マッピングはDIIソリューションの開発中に作成されますが、プロセス中に発見される具体的なリソースではありません。,ビジネスルール,ビジネスルールは、DIIソリューション内でデータがどのように処理され、使用されるかを定義する上で重要ですが、開発プロセス中に具体的に明らかにされることはありません。通常、ビジネスルールは事前に確立され、開発フェーズと実装フェーズで適用されます。,メタデータ,メタデータは、DIIソリューションの開発プロセスで発見される貴重なリソースです。メタデータには、データ構造、定義、関係性、フォーマットに関する情報が含まれており、ソリューション内でデータを効果的に理解し管理するために不可欠です。,イベント処理フロー,イベント処理フローは、システム内でイベントがどのように捕捉、処理、そして実行されるかを記述するものであり、リアルタイムデータ処理にとって重要です。しかし、DIIソリューションの開発において、イベント処理フローが明らかにされることはほとんどありません。,標準モデル,データエンティティとリレーションシップの標準的な表現を定義する標準モデルは、DIIソリューションの重要な構成要素です。しかし、これは通常、設計段階の早い段階で確立されるため、開発プロセス中に明らかになることはありません。,3,8 Data Integration & Interoperability
139,データアーキテクチャコンプライアンス率の測定,データベースがデータを取得できる速度,データベースからのデータ取得速度は、データアーキテクチャのコンプライアンス率の測定とは直接関係がありません。データ取得パフォーマンスはデータ管理において重要ですが、プロジェクトがデータアーキテクチャの標準および要件にどの程度適合しているかを評価する際には、主要な焦点ではありません。,エンティティ内の属性リストがどの程度完全であるか,エンティティ内の属性リストの完全性はデータの品質と整合性にとって重要ですが、データアーキテクチャのコンプライアンス率の測定とは必ずしも関連していません。包括的な属性リストを持つことはデータのモデリングと分析には有益ですが、プロジェクトがデータアーキテクチャのガイドラインにどの程度準拠しているかを直接反映するものではありません。,プロジェクトが開発ライフサイクルにどの程度準拠しているか,開発ライフサイクルへの準拠はプロジェクトの成功に不可欠ですが、データアーキテクチャの準拠率測定とは異なります。開発ライフサイクルはソフトウェア開発に関わるフェーズとプロセスに焦点を当てていますが、データアーキテクチャの準拠率測定は、プロジェクトが確立されたデータアーキテクチャの原則とガイドラインにどの程度準拠しているかを評価します。,プロジェクトがタイムラインにどれだけ忠実に従っているか,プロジェクトがタイムラインをどれだけ正確に達成しているかは、プロジェクト管理とスケジュール管理に関係しており、データアーキテクチャ準拠率の測定とは必ずしも関係ありません。プロジェクトの期限遵守はプロジェクト全体の成功にとって不可欠ですが、プロジェクトがデータアーキテクチャ標準に準拠しているかどうかを評価する上で、それが主要な要素となるわけではありません。,プロジェクトが確立されたデータアーキテクチャにどの程度準拠しているか,データアーキテクチャコンプライアンス率は、プロジェクトが確立されたデータアーキテクチャのガイドラインと原則にどの程度準拠しているかを測定します。データ関連の意思決定と実装が全体的なアーキテクチャフレームワークとどの程度整合しているかを評価し、データ管理プラクティスの一貫性と整合性を確保します。,5,4 Data Architecture
140,ポイントツーポイント インターフェイスを使用するのに最適なユース ケースはどれですか?,多数のアプリケーションを統合する際の複雑さを軽減する,多数のアプリケーションを統合する際の複雑さを軽減することは、ポイントツーポイントインターフェースの主な目的ではありません。実際、このシナリオでポイントツーポイントインターフェースを使用すると、複雑さが増し、メンテナンスのオーバーヘッドが増大する可能性があります。,データセットに加えられた変更を時間の経過とともに追跡する,データセットに加えられた変更を時間の経過とともに追跡するには、ポイントツーポイントインターフェースよりも、データレプリケーションまたは変更データキャプチャメカニズムの方が適しています。ポイントツーポイントインターフェースは、履歴データの追跡には設計されていません。,統合成果物の再利用を促進する,統合成果物の再利用を促進することは、ポイントツーポイントインターフェースの典型的なユースケースではありません。ポイントツーポイントインターフェースは、複数の統合シナリオにわたる再利用を促進するよりも、2つのシステム間での特定の直接的なデータ交換に適しています。,データの履歴スナップショットを作成する,データの履歴スナップショットの作成は、ポイントツーポイントインターフェースではなく、データウェアハウスまたはデータアーカイブソリューションを利用する方が効果的です。ポイントツーポイントインターフェースは、特定のシステム間の直接的なデータ交換に重点を置いています。,2つのシステムを、それぞれのシステムに必要なデータのみで統合する,ポイントツーポイントインターフェースは、特定のデータ交換のみを必要とする2つのシステムを統合する場合に最適です。このアプローチは、複雑なレイヤーの追加や不要なデータ転送を必要としないため、効率的かつシンプルです。,5,8 Data Integration & Interoperability
141,どの GDPR 原則で、「個人データは、処理される目的に関連して適切かつ関連性があり、必要なものに限定される必要がある」と規定されていますか?,ストレージ制限,保存制限​​はGDPRの原則であり、組織は個人データを、収集された目的に必要な期間のみ保存する必要があります。これは個人データの管理に関連していますが、収集されたデータの妥当性や関連性に直接関わるものではありません。,完全性と機密性,完全性と機密性は、GDPRの原則であり、個人データのセキュリティと保護を、不正または違法な処理から確保することに重点を置いています。これらの原則はデータセキュリティにとって重要ですが、特定の目的のために収集された個人データの妥当性、関連性、および制限については直接的に規定していません。,説明責任,アカウンタビリティはGDPRの原則であり、組織はGDPRの要件を遵守し、その遵守を証明する責任を負う必要があります。これはデータ管理の実践全体にとって重要ですが、個人データの適切性、関連性、および制限については具体的に規定されていません。,目的の制限,目的の限定は、個人データは特定され、明確かつ正当な目的のためにのみ処理されるべきであると規定するGDPRのもう一つの原則です。これはデータ処理の目的全般に関連していますが、収集されたデータの妥当性や関連性については具体的に言及していません。,データの最小化,GDPRのデータ最小化原則は、個人データは処理の対象となる特定の目的に必要なものに限定されるべきであることを強調しています。この原則により、組織は意図された処理活動に必要な範囲を超えて個人データを収集または保持することがなくなります。,5,2 Data Handling Ethics
142,主題領域識別子は、主題領域構造を形成する一連の原則です。有効な主題領域識別子ではないものはどれですか？,ビジネス能力,ビジネスケイパビリティは、組織の中核的な機能とコンピテンシーを表すため、サブジェクトエリアを区別する有効な指標となります。ビジネスケイパビリティに基づいてデータを整理することで、組織はデータのニーズ、依存関係、そして関係性をより深く理解し、より効果的なデータ管理を実現できます。,ポートフォリオと資金調達構造,ポートフォリオと資金調達構造は、組織内の投資とリソース配分の領域を定義するため、有効な分野区分として機能します。データ管理プラクティスを資金調達構造と整合させることで、組織はデータイニシアチブの優先順位付けを行い、リソースの効率的な配分を実現できます。,組織構造,組織構造は、サブジェクトエリアの有効な識別要因ではありません。なぜなら、組織構造は、サブジェクトエリアの構造を形成する原則ではなく、組織内の階層構造と報告関係に焦点を当てているからです。組織構造はデータ管理の実践に影響を与える可能性がありますが、サブジェクトエリアを定義するための直接的な識別要因ではありません。,データガバナンス構造とデータの所有権,データガバナンス構造とデータ所有権は、データ管理の不可欠な要素であり、サブジェクトエリアを区別する有効な要素として機能します。明確なデータガバナンス原則を確立し、データ所有権の役割を定義することで、サブジェクトエリア内のデータ品質、セキュリティ、コンプライアンスを確保できます。,ビジネスバリューチェーンに基づくトップレベルのプロセス,ビジネスバリューチェーンに基づくトップレベルプロセスは、組織に価値をもたらすコアビジネスプロセスに基づいてデータを整理するのに役立つため、有効なサブジェクトエリア識別器となります。このアプローチにより、データがビジネスの戦略目標と整合し、効果的なデータ管理が可能になります。,3,4 Data Architecture
143,ソフトウェア指向アーキテクチャ/エンタープライズ サービス バスではどのようなタイプのアプリケーション結合相互作用設計が使用されますか?,タイトカップリング,ソフトウェア指向アーキテクチャ/エンタープライズサービスバスでは、密結合は使用されません。密結合では、コンポーネントが互いに強く依存するため、システムの柔軟性が低下し、保守や変更が困難になります。,複合イベント処理,複合イベント処理は、アプリケーション結合インタラクション設計とは異なる概念です。ソフトウェアコンポーネント間の結合レベルを決定するのではなく、複雑なイベントパターンをリアルタイムで処理および分析することに重点を置いています。,APIカップリング,API結合とは、APIを介した異なるアプリケーション間の依存関係の度合いを指します。APIはシステム間の相互作用を可能にする上で重要な役割を果たしますが、「API結合」という用語は、疎結合に基づくソフトウェア指向アーキテクチャ/エンタープライズ・サービス・バスで使用されるアプリケーション結合相互作用設計の種類を具体的に説明するものではありません。,疎結合,ソフトウェア指向アーキテクチャ/エンタープライズサービスバスでは、アプリケーションの相互作用を設計するために疎結合が使用されます。このタイプの結合により、コンポーネントは緊密に結合せずに相互に相互作用することができ、システムの柔軟性、拡張性、メンテナンスの容易さが向上します。,ポイントツーポイント結合,ポイントツーポイント結合はコンポーネント間の直接接続を伴うため、システムが硬直化し柔軟性に欠ける可能性があります。このタイプの結合は、疎結合が好まれるソフトウェア指向アーキテクチャ/エンタープライズサービスバスでは通常使用されません。,4,8 Data Integration & Interoperability
144,円グラフ上のパーセンテージを表す数値の合計が 100 になる必要があるという要件を無視することは、どの非倫理的なデータ処理方法の例ですか。,不完全な定義,不完全な定義とは、データ分析において用語や概念を不完全または誤解を招くような定義で提供するという非倫理的な行為を指します。これは非倫理的なデータ取り扱いに関連していますが、円グラフのパーセンテージの合計が100になるという要件を無視するという問題には具体的には言及していません。,収集されたデータの偏った使用,収集されたデータの偏った使用は非倫理的である可能性がありますが、円グラフのパーセンテージの合計が 100 になるという要件を無視するという問題には具体的に対処していません。この行為には、特定の結果または観点に有利になるようにデータを操作することが含まれます。,誤解を招く視覚化,円グラフ上のパーセンテージを表す数値の合計が 100 になる必要があるという要件を無視することは、データを誤って表現し、視聴者による誤った解釈につながる可能性があるため、誤解を招く視覚化の例です。,無効な比較,無効な比較は、円グラフのパーセンテージの合計が 100 になるという要件を無視する行為とは直接関係しません。この非倫理的な行為は、比較すべきでないデータを比較したり、データから誤った結論を導き出したりすることに関係しています。,タイミング操作,タイミング操作とは、データの収集や提示のタイミングを操作して、データの解釈に影響を与えることです。これは、円グラフのパーセンテージの合計が100になるという要件を無視するという非倫理的な行為とは直接関係がありません。,3,2 Data Handling Ethics
145,データセキュリティフレームワークでは、すべての企業情報を分類する必要があります。この目標を達成するために何が不可欠ですか？,ステークホルダーエンゲージメント,ステークホルダーの関与は、データ分類要件に関する意見やフィードバックを収集する上で重要ですが、企業全体の情報を分類するという目標を達成するために不可欠な唯一の要素ではありません。ステークホルダーの関与は貴重な洞察をもたらす可能性がありますが、効果的なデータ分類には、エンタープライズ・データ・モデルを作成するための構造化されたプロセスが不可欠です。,エンタープライズデータモデルの作成,エンタープライズデータモデルの作成は、企業内のすべての情報を正確に分類するために不可欠です。エンタープライズデータモデルは、データの重要性、機密性、組織内での使用状況に基づいてデータを整理・分類するための構造化されたフレームワークを提供し、効果的なデータセキュリティフレームワークの実装に不可欠です。,強力なセキュリティチーム,強力なセキュリティチームはデータセキュリティフレームワークの実装と維持に重要ですが、企業情報の分類プロセスとは直接関係がありません。データの分類とは、セキュリティチームだけに頼るのではなく、データの属性に基づいて整理・分類することです。,積極的な管理,データセキュリティフレームワークを効果的に実装・維持するためには、プロアクティブな管理が不可欠ですが、企業情報の分類というタスクに特化しているわけではありません。データの分類には、事前に定義された基準に基づいてデータを体系的に整理するアプローチが必要です。,ビジネスとITのコラボレーション,データ分類の要件を双方の観点から理解するには、ビジネス部門とIT部門の連携が重要です。ビジネス部門のステークホルダーはデータの重要度と価値に関する洞察を提供し、IT部門のプロフェッショナルはデータ分類の技術的側面がセキュリティ基準に準拠していることを確認できます。,2,7 Data Security
146,存在論は ____ を問いますが、形而上学は ____ を問いますか?,なぜ/どのように,形而上学は、物事がなぜそうなっているのかを問いながら、存在の背後にある根本的な原理と理由を探求しますが、存在論は、物事が「何であるか」、そして「どのように」存在するのかを問うことで、物事の本質を定義することに重点を置きます。,何/誰,存在論が提起する問いは、物事が「何であるか」を問うことで物事の性質と存在を定義することを中心に展開しますが、形而上学は、物事の存在の原因が「誰」または「何」であるかを問うことで、現実の根底にある理由と原理を探求します。,方法/理由,形而上学は、物事が「どのように」存在するのかを問うことで現実の究極の性質を理解しようとしますが、存在論は、物事が「どのように」存在するのかを問うことで存在の本質を分類および定義することに重点を置いています。,どのように/何を,存在論は、物事が「どのように」存在するか、そして「何であるか」を問うことで物事の本質と性質を定義することに関係し、一方、形而上学は、物事が「どのように」存在するようになるのかを問うことで、存在の根本原理と原因を探ります。,何/どのように,存在論は存在と存在の本質に焦点を当て、「事物とは何か」、そして「どのように」存在するのかを問います。一方、形而上学は現実の根本的な本質を探求し、事物が「どのようにして」存在し、生まれるのかを問います。,5,9 Document & Content Management
147,データ アーキテクチャは、企業全体のニーズをサポートするときに最も価値があるのはなぜですか?,エンタープライズ データ アーキテクチャは、すべての規制コンプライアンスに必須です。,規制遵守には特定のデータ アーキテクチャ標準の遵守が必要になる場合がありますが、企業全体のニーズをサポートする際にデータ アーキテクチャが価値を持つ主な理由は、そこではありません。,企業全体で 1 つの中央データ アーキテクチャ チームを設ける方がコスト効率が高くなります。,企業全体に 1 つの中央データ アーキテクチャ チームを置くことはコスト効率が良いかもしれませんが、企業全体をサポートするデータ アーキテクチャの主な価値は、組織全体でデータを標準化および統合する機能にあります。,エンタープライズ データ アーキテクチャは標準の使用を強制します。,エンタープライズ データ アーキテクチャは標準の使用を強制しますが、その主な価値は、一貫したデータの標準化と統合を可能にすることで企業全体のニーズをサポートできることにあります。,エンタープライズデータアーキテクチャなしではデータを統合することは不可能です,適切なデータ アーキテクチャが整備されていないとデータを統合するのは難しいかもしれませんが、企業全体をサポートするエンタープライズ データ アーキテクチャの主な価値は、一貫したデータの標準化と統合を可能にすることにあります。,エンタープライズ データ アーキテクチャにより、企業全体で一貫したデータの標準化と統合が可能になります。,エンタープライズ・データ・アーキテクチャは、組織全体でデータの標準化と統合を確保する上で重要な役割を果たします。この一貫性により、データ品質の向上、データ共有の容易化、そして意思決定プロセスの改善が実現します。,5,4 Data Architecture
148,データは理解するために、様々な抽象レベルで表現する必要があります。具体的には以下のとおりです。,概念的、論理的、物理的,データの正しい表現には、概念レベル、論理レベル、物理レベルという3つの抽象レベルがあります。概念レベルは高レベルのビジネス概念と要件を表し、論理レベルはこれらの概念をより詳細かつ構造化された形式に変換し、物理レベルは実際のデータベースシステムにおけるデータの保存方法とアクセス方法を定義します。,高、中、低,高レベル、中レベル、低レベルは、データを表現する際の標準的な抽象化レベルではありません。これらの用語は、データの包括的な理解と表現に必要な概念レベル、論理レベル、物理レベルを正確に反映していません。,主題領域、概念、論理,サブジェクト領域、概念、論理の各レベルは、データ表現における異なる抽象化レベルを正確に表現していません。サブジェクト領域と概念レベルは高レベルのビジネス概念に関連していますが、データの詳細な構造化や物理的な実装はカバーしていません。,データセット、データレコード、データ要素,データセット、データレコード、データ要素は、包括的なデータ表現に必要な異なる抽象化レベルを表すものではありません。これらの用語は、概念的、論理的、物理的な抽象化レベルではなく、データセット内のデータ要素の粒度と構造に重点を置いています。,狭く、広く、深く,ナロー、ワイド、ディープは、データ表現における標準的な抽象化レベルではありません。これらの用語は、データを効果的に管理し理解するために不可欠な、一般的に使用される概念レベル、論理レベル、物理レベルとは一致しません。,1,4 Data Architecture
149,送信者と受信者が異なるキーを持つ複雑なコードにプレーンテキストを変換するプロセス。,2鍵暗号化,2鍵暗号化は、認められた暗号化方式ではありません。「2鍵暗号化」という用語は、平文を送信者と受信者で異なる鍵を持つ複雑なコードに変換するという文脈において、標準的な暗号化技術とは一致しません。,秘密鍵暗号化,秘密鍵暗号化（対称暗号化とも呼ばれます）では、暗号化と復号化の両方に同じ鍵を使用します。つまり、送信者と受信者の両方が、メッセージの暗号化と復号化に同じ鍵にアクセスできなければなりません。送信者と受信者が異なる鍵を持っているシナリオには適していません。,安全鍵暗号化,安全鍵暗号は、平文を送信者と受信者で異なる鍵を持つ複雑なコードに変換するという文脈において、標準的な暗号化方式ではありません。データ管理とセキュリティの分野において、「安全鍵暗号」として知られる広く認知された暗号化技術は存在しません。,ハッシュキー暗号化,ハッシュキー暗号化は標準的な暗号化方式ではありません。ハッシュ関数はデータの整合性と検証を目的としており、メッセージの暗号化には使用されません。入力データに基づいて固定サイズの出力を生成しますが、平文を送信者と受信者で異なるキーを持つ複雑なコードに変換するためには使用されません。,公開鍵暗号化,公開鍵暗号では、暗号化用の公開鍵と復号用の秘密鍵という2つの鍵を使用します。これにより、送信者は受信者の公開鍵でメッセージを暗号化し、受信者の秘密鍵でのみ復号することができます。このプロセスにより、異なる鍵を持つ当事者間の安全な通信が保証されます。,5,7 Data Security
150,プライバシーと機密性に関する利害関係者の要件は、,ドキュメントとコンテンツの管理,ドキュメントおよびコンテンツ管理は、組織内のドキュメントとコンテンツの保存、検索、整理に重点を置いています。プライバシーと機密性はドキュメントとコンテンツの管理において重要な考慮事項ですが、これらは包括的な目標であり、通常はデータセキュリティというより広範な範囲で対処されます。,データ品質,データ品質は、データの正確性、完全性、一貫性、信頼性に関係します。プライバシーと機密性の確保はデータ品質の向上に貢献しますが、これらは主にデータセキュリティの領域で扱われる明確な目標です。,メタデータ管理,メタデータ管理には、データ資産に関するコンテキストと情報を提供するメタデータの整理、保存、および取得が含まれます。メタデータにはプライバシーと機密性の要件に関する情報が含まれる場合もありますが、プライバシーと機密性の実際の目標は通常、データセキュリティの範囲内で管理されます。,データアーキテクチャ,データアーキテクチャは、データの保存、統合、管理を含むデータシステムの設計と構造に重点を置いています。プライバシーと機密性はデータアーキテクチャにおいて重要な考慮事項ですが、より具体的にはデータセキュリティの領域で扱われます。,データセキュリティ,データセキュリティとは、データへの不正アクセス、利用、開示、妨害、改ざん、破壊からの保護を指します。プライバシーと機密性の要件は、機密情報を確実に保護するためのデータセキュリティにおける重要な目標です。,5,7 Data Security
151,ビジネス戦略とテクノロジー実行の架け橋となると考えられる知識領域はどれですか?,データアーキテクチャ,データアーキテクチャは、ビジネス目標と目的に沿ったデータ資産の構造、統合、管理の設計に重点を置いているため、最適な選択肢です。データアーキテクチャは、データインフラストラクチャが組織の戦略的イニシアチブをサポートできるようにすることで、ビジネス戦略とテクノロジー実行の橋渡し役を果たします。,データモデリングと設計,データモデリングと設計は、主に組織のデータ要件を表現するためのデータモデルとスキーマの作成を扱います。データ管理において重要ですが、ビジネス戦略とテクノロジー実行を直接的に繋ぐ役割を担うわけではありません。,データウェアハウスとビジネスインテリジェンス,データウェアハウスとビジネスインテリジェンスは、意思決定プロセスを支援するためのデータの保存と分析に重点を置いています。ビジネスインサイトを得るには不可欠ですが、データアーキテクチャほど効果的にビジネス戦略とテクノロジー実行を直接結び付けることはできません。,データの保存と操作,データ ストレージと操作はすでに選択肢として言及されているため、これは重複したオプションです。,データの保存と操作,データストレージと運用は、組織内におけるデータの物理的な保管と管理を伴います。データ管理において不可欠ではあるものの、ビジネス戦略とテクノロジー実行の橋渡し役としての役割は特に果たしていません。,1,4 Data Architecture
152,システムにログオンしたユーザーが認識されるプロセス。,認証,認証とは、システムにログインするユーザーの身元を確認するプロセスです。システムへのアクセスを許可する前に、ユーザーが本人であることを確認します。,承認,認可とは、システム内または特定のリソースにおいてユーザーがどのような操作を実行できるかを決定するプロセスです。これは、ユーザーの身元の確認に重点を置く認証とは異なります。,アクセス,アクセスとは、システムまたはそのリソースを操作するためにユーザーに付与される権限を指します。アクセスは認証と関連していますが、システムにログインしたユーザーを認識するプロセスではありません。,復号化,復号化とは、暗号化されたデータを元の読み取り可能な形式に戻すプロセスです。システムにログインしているユーザーの認識とは直接関係ありません。,監査,監査とは、システム内のアクティビティを監視および記録し、コンプライアンスの確保、変更の追跡、セキュリティインシデントの検出を行うことを指します。監査ログは認証イベントを記録する場合もありますが、システムにログインしたユーザーを認識するプロセスではありません。,1,7 Data Security
153,データ系統とフローの最大の利点は何ですか?,影響分析,影響分析はデータリネージとデータフローに関連する概念ですが、データやシステムへの変更がもたらす潜在的な影響を理解することに重点を置いています。データリネージとデータフローは、データ間の関係性に関する洞察を提供することで影響分析をサポートしますが、その主なメリットは影響分析とは必ずしも関連していません。,レイテンシー識別,レイテンシの特定は、データリネージとフローの主なメリットではありません。データリネージとフローを理解することで、データ処理におけるボトルネックや遅延を特定するのに役立ちますが、データリネージとフローの主なメリットは、レイテンシの特定に特化するのではなく、データ資産に対する制御と可視性を提供することにあります。,データ資産の管理,データリネージとフローは、データエコシステム全体におけるデータの起源、移動、そして変換を追跡することで、データ資産の制御を実現します。この可視性により、組織はデータの品質、コンプライアンス、そしてガバナンスを確保し、最終的にはデータ資産のより適切な制御が可能になります。,データの全体的な価値を向上させる,データリネージとフローは、組織がデータのリネージとフローに基づいて情報に基づいた意思決定を行えるようにすることで、間接的にデータ全体の価値を向上させることができます。しかし、データリネージとフローの主なメリットは、データの価値の向上に直接結びついているわけではありません。,価値創造の障壁を取り除く,データ リネージとフローは、データがどのように使用され、どこから来ているのかに関する洞察を提供することで価値創造の障壁を取り除くのに役立ちますが、主な利点は、価値創造のみに焦点を当てるのではなく、データ資産の制御と理解にあります。,3,4 Data Architecture
154,TOGAF とは何の略ですか?,公式汎用アーキテクチャフレームワーク,公式汎用アーキテクチャフレームワーク（Official Generic Architecture Framework）はTOGAFの正しい拡張ではありません。TOGAFはThe Open Groupによって開発された特定のフレームワークであり、汎用アーキテクチャフレームワークではありません。,オープングループアーキテクチャフレームワーク,TOGAFはThe Open Group Architecture Frameworkの略称です。エンタープライズ情報アーキテクチャの設計、計画、実装、ガバナンスのための包括的なアプローチを提供する、広く使用されているエンタープライズアーキテクチャフレームワークです。,テクノロジー運用ガバナンスアーキテクチャフレームワーク,テクノロジー運用ガバナンス・アーキテクチャ・フレームワークは、TOGAFの適切な拡張ではありません。TOGAFはエンタープライズアーキテクチャに重点を置いており、テクノロジー運用ガバナンスには特に対応していません。,組織化された一般アーキテクチャフレームワーク,Organised General Architecture Framework（TOGAF）はTOGAFの正しい拡張ではありません。TOGAFは、The Open Groupによって開発された構造化された包括的なフレームワークであり、一般的な、あるいは緩く体系化されたフレームワークではありません。,アーキテクチャフレームワークを管理する,「To Govern Architecture Framework」はTOGAFの正しい拡張ではありません。ガバナンスはエンタープライズアーキテクチャの重要な側面ですが、TOGAFはより広範なアーキテクチャ上の考慮事項を網羅しています。,2,4 Data Architecture
155,エンタープライズ データ モデルはプロジェクト データ仕様をどのようにガイドしますか?,プロジェクトがデータライフサイクル全体にわたってソリューションを実装することを確実にすることにより,プロジェクトでは、データライフサイクルの様々な段階に影響を与えるソリューションを実装する場合がありますが、エンタープライズデータモデルは、データ管理プラクティスのための標準化されたフレームワークを提供することで、プロジェクトのデータ仕様を導きます。これにより、プロジェクトが組織全体のデータ戦略とアーキテクチャと整合していることが保証されます。,アプリケーションデータモデルに構造設計図を提供することで,アプリケーションデータモデルは、個々のアプリケーションやシステムの特定のデータ要件に焦点を当て、それらのアプリケーション内でデータがどのように整理されるかを示す詳細な構造設計図を提供します。アプリケーション開発においては重要ですが、エンタープライズデータモデルがプロジェクトのデータ仕様を導く方法とは直接関係がありません。,プロジェクトデータ仕様が将来の要件に対応できるようにすることで,エンタープライズデータモデルは設計段階で将来の要件を考慮する場合もありますが、その主な役割は組織全体のデータ管理のための基盤となるフレームワークを提供することです。プロジェクトのデータ仕様は、一貫性と相互運用性を確保するために、エンタープライズデータモデルの現状と整合させる必要があります。,組織全体に明確で一貫した定義を提供することで,エンタープライズデータモデルは、組織全体にわたるデータ要素、属性、および関係性について、明確かつ一貫性のある定義を一元的に提供するソースとして機能します。この一貫性により、すべての関係者が使用されるデータについて共通の理解を持つことができ、プロジェクトのデータ仕様策定に役立ちます。,ビジネス要件を検証することで,ビジネス要件の検証はプロジェクトデータ仕様の重要な側面ですが、エンタープライズデータモデルは、組織全体におけるデータの定義、構造化、管理方法を導く上で、より広範な役割を果たします。エンタープライズデータモデルは、プロジェクトデータ仕様と企業全体のデータ戦略を整合させるための基盤となるフレームワークを提供します。,4,4 Data Architecture
