number,question,choice_1,explanation_1,choice_2,explanation_2,choice_3,explanation_3,choice_4,explanation_4,choice_5,explanation_5,correct,domain
95,"""Once complete, the transaction cannot be undone."" describes which characteristic of ACID processing?",Consistency,Consistency in ACID processing ensures that the database remains in a valid state before and after the transaction. It does not specifically address the irreversibility of completed transactions.,Atomicity,"Atomicity in ACID processing refers to the ""all or nothing"" principle, where a transaction is either fully completed or not at all. While atomicity is related to the concept of irreversible transactions, it does not specifically address the permanence of completed transactions like durability does.",Dependency,Dependency is not a characteristic of ACID processing. It does not pertain to the durability of transactions or the inability to undo completed transactions.,Durability,"Durability in ACID processing ensures that once a transaction is committed, the changes made by the transaction are permanent and will persist even in the event of a system failure. This characteristic guarantees that the data will remain intact and accessible, making it impossible to undo the transaction once it is complete.",Dominance,Dominance is not a characteristic of ACID processing. It does not relate to the permanence of transactions or the ability to undo completed transactions.,4,6 Data Storage and Operations
96,A Data Architecture team is best described as?,A group of strong database administrators,"While database administrators may be part of a Data Architecture team, the team as a whole is not solely comprised of database administrators. The team includes individuals with expertise in data modeling, data governance, data integration, and other areas related to data architecture.",A well-managed project of architectural development,"While a Data Architecture team may be involved in architectural development projects, their primary role is not limited to project management. They are more focused on the strategic aspects of data architecture rather than day-to-day project management.",The authors of reference data,"The authors of reference data are responsible for creating and maintaining reference data sets that are used across the organization. While reference data is an important aspect of data management, it is not the sole focus of a Data Architecture team, which has a broader scope encompassing the overall data architecture of the organization.",An operational data provisioning group,An operational data provisioning group is typically responsible for managing the day-to-day operations of data provisioning and data delivery. This is different from the strategic planning and compliance focus of a Data Architecture team.,A strategic planning and compliance team,A Data Architecture team is primarily focused on strategic planning and ensuring compliance with data management policies and standards. They are responsible for designing the overall data architecture of an organization to meet business objectives and regulatory requirements.,5,4 Data Architecture
97,HTTPS indicates that a website is?,Equipped with a security layer,"HTTPS stands for Hypertext Transfer Protocol Secure, which indicates that a website is equipped with a security layer. This security layer encrypts the data exchanged between the user's browser and the website, ensuring that sensitive information such as login credentials, payment details, and personal information is protected from unauthorized access.",Equipped with third party cookies,HTTPS does not necessarily indicate that a website is equipped with third-party cookies. Third-party cookies are small pieces of data stored by websites other than the one the user is currently visiting and are not directly related to the security features provided by HTTPS.,Equipped with a Content Management System,"While a website equipped with HTTPS may also use a Content Management System (CMS) to manage its content, the presence of HTTPS specifically indicates the implementation of a security layer to protect data transmission. The use of a CMS is unrelated to the security provided by HTTPS.",Equipped with a foreign language translator,"HTTPS does not indicate that a website is equipped with a foreign language translator. The presence of HTTPS is solely related to the implementation of a security layer to protect data transmission, regardless of the language support or translation features of the website.",Equipped with an underlying database,"HTTPS does not indicate that a website is equipped with an underlying database. The presence of HTTPS is focused on securing the communication between the user's browser and the website, rather than the storage or management of data within a database.",1,7 Data Security
98,An unsecured but highly encrypted network connection that allows a user access to an organisation's internal network.,EDM,"EDM (Enterprise Data Management) refers to the processes, policies, and systems used by an organization to manage its data assets effectively. It is not related to providing network access to an organization's internal network.",VPN,"A VPN (Virtual Private Network) is an unsecured network connection that is highly encrypted, allowing a user to access an organization's internal network securely over the internet. It provides a secure tunnel for data transmission, ensuring confidentiality and integrity of the data being transferred.",API,API (Application Programming Interface) is not a network connection but a set of rules and protocols that allow different software applications to communicate with each other. It is not related to providing network access to an organization's internal network.,CDC,CDC (Change Data Capture) is a method used to capture changes made to data in a database for replication and synchronization purposes. It is not related to providing network access to an organization's internal network.,USB,USB (Universal Serial Bus) is a hardware interface used to connect external devices to a computer. It is not related to providing network access to an organization's internal network.,2,7 Data Security
99,"Which Data Architecture artefact contains the names of key business entities, their relationships, critical guiding business rules and critical attributes?",Enterprise Semantic Model,"An Enterprise Semantic Model focuses on defining the meaning and relationships of data elements within an organization. While it may include some business rules and attributes, it does not specifically focus on key business entities and their relationships as requested in the question.",Enterprise Data Model,"An Enterprise Data Model contains the names of key business entities, their relationships, critical guiding business rules, and critical attributes. It serves as a high-level overview of the organization's data architecture, providing a structured representation of key data elements and their interrelationships.",Enterprise Data Flows,"Enterprise Data Flows typically depict the movement of data between systems or processes within an organization. They focus on the flow of data rather than the specific entities, relationships, rules, and attributes outlined in the question.",Enterprise Data Standards,"Enterprise Data Standards typically refer to guidelines and rules for data management, including data naming conventions, data quality standards, and data security protocols. While important for data governance, they do not specifically contain the names of key business entities, relationships, rules, and attributes as outlined in the question.",Enterprise Business Glossary,"An Enterprise Business Glossary contains a list of business terms and their definitions within an organization. While it may include some critical attributes and definitions, it does not typically capture the relationships between key business entities or critical guiding business rules as specified in the question.",2,4 Data Architecture
100,What type of data model defines the business entities and the relationships between these business entities?,Physical Data Model,"A Physical Data Model defines the actual implementation of the database, including tables, columns, indexes, and constraints. It is more focused on the technical aspects of data storage and retrieval, rather than defining business entities and their relationships.",Logical Data Model,"A Logical Data Model translates the Conceptual Data Model into a more detailed structure that includes entities, attributes, and relationships. While it further refines the business entities, it is not the primary type of data model for defining the high-level business entities and relationships.",Conceptual Data Model,"A Conceptual Data Model defines the high-level business entities and the relationships between them without going into specific technical details. It focuses on the business concepts and requirements, making it the most suitable type of data model for defining business entities and their relationships.",Canonical Data Model,"A Canonical Data Model defines standard data structures and formats for integration and interoperability between different systems. While it helps standardize data across systems, it is not primarily used for defining business entities and their relationships.",Dimensional Data Model,"A Dimensional Data Model is specifically designed for data warehousing and analytics, focusing on organizing data into dimensions and facts for efficient querying and reporting. It is not typically used to define business entities and their relationships.",3,4 Data Architecture
101,"In the Zachman Framework Which column refers to Goals, Strategies and Means?",Why?,"In the Zachman Framework, the ""Why"" column refers to Goals, Strategies, and Means. This column focuses on the purpose and objectives of the organization, including the reasons behind the development and implementation of the enterprise architecture.",What?,"The ""What"" column in the Zachman Framework represents Data and defines the information assets and data elements that are utilized within the organization. It does not specifically address Goals, Strategies, and Means, which are covered in the ""Why"" column.",How?,"The ""How"" column in the Zachman Framework pertains to Processes and Functions. It details the methods and procedures used to achieve the goals and objectives outlined in the ""Why"" column, rather than focusing on the Goals, Strategies, and Means themselves.",When?,"The ""When"" column in the Zachman Framework corresponds to Time and Events. It addresses the temporal aspects of the organization's operations, including scheduling, timelines, and sequencing of activities, rather than specifically addressing Goals, Strategies, and Means.",Where?,"The ""Where"" column in the Zachman Framework relates to Networks and Locations. It deals with the physical and logical placement of resources within the organization, such as systems, databases, and infrastructure, rather than focusing on Goals, Strategies, and Means.",1,4 Data Architecture
102,"True or False: Causes of poor Database Management include memory allocation errors, poor SQL coding, and database volatility",FALSE,"FALSE. The statement is incorrect as the causes of poor Database Management actually include memory allocation errors, poor SQL coding, and database volatility. These factors can all impact the performance, stability, and security of a database system if not managed properly.",TRUE,"TRUE. Causes of poor Database Management can include memory allocation errors, which can lead to performance issues and system crashes. Poor SQL coding can result in inefficient queries, slow performance, and potential security vulnerabilities. Database volatility, such as frequent changes in data structure or high levels of data churn, can also contribute to poor database management practices.",nan,nan,nan,nan,nan,nan,2,6 Data Storage and Operations
103,An important difference between BI and applying data science type analysis is,BI is based hindsight whereas data science gives us insight and foresight,"BI, or Business Intelligence, focuses on analyzing past data to provide insights into what has happened. On the other hand, data science involves using advanced algorithms and techniques to analyze data and make predictions about the future, providing both insight and foresight.",BI may be self service but data science depends on experts,"BI tools are often designed for self-service use, allowing users to explore data and create reports without the need for specialized expertise. In contrast, data science typically requires specialized knowledge and expertise in statistical analysis, machine learning, and programming.",BI is predictive whereas data science is prescriptive,"BI tools are primarily used for predictive analytics, which involves forecasting future trends based on historical data. Data science, on the other hand, focuses on prescriptive analytics, which goes beyond predicting outcomes to recommend actions to achieve desired outcomes.",BI is based on scenarios whereas data science is based in history,"BI often relies on analyzing data based on predefined scenarios or business questions, while data science involves analyzing historical data to uncover patterns and insights that may not have been previously considered.","There is no difference, both are a type of analysis","BI and data science are distinct approaches to analyzing data, with BI focusing on historical data analysis for business insights, while data science involves using advanced techniques to extract knowledge and insights from data.",1,14 Big Data and Data Science
104,"In Data Storage and Operations the term ""Schema"" refers to",The type of data model on which the database was built.,"The term ""Schema"" in Data Storage and Operations does not refer to the type of data model on which the database was built. While the data model may influence the schema design, they are not the same concept.",A subset of database objects contained within a database.,"In Data Storage and Operations, the term ""Schema"" refers to a subset of database objects contained within a database. It includes tables, views, indexes, and other database objects that define the structure of the database and the relationships between the data entities.",A group of databases with something in common,"In Data Storage and Operations, the term ""Schema"" does not refer to a group of databases with something in common. It specifically relates to the structure and organization of database objects within a single database.",The Star Schema in a data mart.,"The term ""Schema"" in Data Storage and Operations is not specifically tied to the Star Schema in a data mart. A schema is a broader concept that encompasses the organization and structure of database objects within a database, not just a specific type of schema design.",An execution of database software controlling access to a certain area of storage.,"The term ""Schema"" in Data Storage and Operations is not related to an execution of database software controlling access to a certain area of storage. It is more focused on defining the structure and relationships of database objects within a database, rather than access control mechanisms.",2,6 Data Storage and Operations
105,"When defining your business continuity plan, which of the following should one consider doing?","Consider written policies and procedures, impact mitigating measures, required recovery time and acceptable amount of disruption, the criticality of documents","When defining a business continuity plan, it is crucial to consider written policies and procedures to guide actions during a crisis, impact mitigating measures to reduce the severity of disruptions, required recovery time and acceptable amount of disruption to set realistic expectations, and the criticality of documents to prioritize recovery efforts effectively.","Determine the risk, probability and impact, check document backup frequency","Determining risk, probability, impact, and document backup frequency are important steps in risk assessment and data backup strategies, but they do not directly address the key considerations needed for defining a business continuity plan, such as policies, recovery time, and impact mitigation measures.","Have the contracts in place to acquire new hardware in case of technical problems, define policies","Having contracts in place for acquiring new hardware and defining policies are important steps in implementing the business continuity plan, but they do not address the initial considerations required for defining the plan, such as impact mitigation, recovery time, and critical document assessment.","Make sure that the data is retained sufficiently long, check that critical data is encrypted, check access rights","Ensuring data retention, encryption, and access rights are important aspects of data management and security, but they are not specific considerations for defining a business continuity plan, which focuses more on ensuring business operations can continue in the event of a disruption.",Write a report and discuss with management the required budget,"Writing a report and discussing budget requirements with management is important for securing resources to implement the business continuity plan, but it is not directly related to the initial considerations needed for defining the plan itself.",1,6 Data Storage and Operations
106,"Important information uncovered during data integration about how data is acquired, flows, is changed and used by the organisation, is called ___________ and must be documented.",Data Stream,"Data Stream typically refers to a continuous flow of data from a source to a destination. While data streams are important for real-time data processing, they do not capture the comprehensive information about data acquisition, flow, changes, and usage that is covered under data lineage.",Data Lifecycle,"Data Lifecycle refers to the stages that data goes through from its creation to its deletion or archiving. While documenting the data lifecycle is important, it does not specifically capture the detailed information about how data is acquired, flows, is changed, and used within the organization, which is the focus of data lineage.",Data Flows,"Data Flows are part of data lineage, but they specifically refer to the movement of data from one system or process to another. While understanding data flows is essential, data lineage encompasses a broader scope of information about data acquisition, changes, and usage.",Data Lineage,"Data Lineage refers to the important information uncovered during data integration about how data is acquired, flows, is changed, and used by the organization. It is crucial to document this information to understand the origin and movement of data within the organization.",Data Value Chain,"Data Value Chain refers to the end-to-end process of creating value from data, including data acquisition, processing, analysis, and decision-making. While understanding the data value chain is essential for deriving insights from data, it does not specifically address the detailed information about data acquisition, flow, changes, and usage that is documented in data lineage.",4,8 Data Integration & Interoperability
107,"A system which requires a user to enter his/her username and password as well as a PIN messaged to the user's phone, is making use of",Two-factor identification,"Two-factor identification requires the user to provide two different forms of authentication to access a system. In this case, the user must enter a username and password (first factor) and a PIN messaged to their phone (second factor), making it a valid example of two-factor identification.",Three-factor identification,"Three-factor identification would require the user to provide three different forms of authentication, which is not the case in this scenario where only two factors are required (username/password and PIN).",Electronic communication security,"Electronic communication security refers to the protection of data during electronic transmission, such as encryption and secure communication protocols. While the system described may involve electronic communication security for sending the PIN, it is not the primary method of authentication being used.",One-factor identification,"One-factor identification involves only one form of authentication, such as a username and password. In the scenario provided, both a username/password and a PIN are required, making it a two-factor identification system.",Hardware enabled security,"Hardware-enabled security typically involves the use of physical devices like smart cards or USB tokens for authentication. The scenario described does not mention the use of any hardware devices for authentication, so it is not related to hardware-enabled security.",1,7 Data Security
108,The relationship between Data Management and Technology is such that,There is no relationship,"There is no relationship is incorrect because data management and technology are inherently interconnected in today's digital age. Effective data management is essential for leveraging technology to its full potential, and technology is crucial for implementing and supporting data management practices. The relationship between data management and technology is symbiotic, with each influencing and shaping the other.",Data Management decisions must drive Information Technology decisions,"Data Management decisions must drive Information Technology decisions because effective data management is essential for the successful implementation and utilization of technology. Data management decisions, such as data governance, data quality, and data security, directly impact how technology systems are designed, implemented, and used to ensure that data is accurate, secure, and accessible.",Business decisions drive Data Management decisions,"Business decisions drive Data Management decisions is incorrect because while business needs and priorities certainly influence data management decisions, it is ultimately the data management practices and strategies that enable businesses to effectively use data to drive decision-making, innovation, and growth.",Data Management decisions drive Business decisions,"Data Management decisions drive Business decisions is incorrect because while data management plays a crucial role in informing business decisions, it is not the sole driver. Business decisions are influenced by a variety of factors, including market trends, customer needs, and organizational goals, in addition to data management considerations.",Information Technology decisions must drive Data Management decisions.,"Information Technology decisions must drive Data Management decisions is incorrect because data management should be the foundation upon which technology decisions are made. Without proper data management practices in place, technology implementations may not effectively support the organization's data needs, leading to issues with data quality, security, and accessibility.",2,1 Data Management
109,"A type of big data processing architecture which has as its components speed, batch and serving layers.",Complex-Event Data Architecture,"Complex-Event Data Architecture is focused on processing and analyzing real-time data streams to detect patterns or anomalies. While it may include speed and serving layers, it does not typically have batch processing as a core component.",Data Lake Architecture,"Data Lake Architecture focuses on storing large amounts of raw data in its native format for later processing. While it can include speed, batch, and serving layers, it is not specifically designed to have these components as its core structure.",BASE,"BASE (Basically Available, Soft state, Eventually consistent) is a set of properties that a distributed system can have. It is not a type of big data processing architecture that includes speed, batch, and serving layers.",Services-based Architecture,"Services-based Architecture is a type of big data processing architecture that consists of speed, batch, and serving layers. These layers work together to provide real-time processing, batch processing, and serving of data to end-users or applications.",Enterprise Data Warehouse architecture,"Enterprise Data Warehouse architecture is designed for storing and analyzing structured data from various sources. While it may have components for batch processing and serving data, it does not typically include speed layers as part of its architecture.",4,14 Big Data and Data Science
110,The ETL function which moves and possibly transforms infrequently used data to an alternate less costly data storage environment is called,Replication,"Replication is not the correct choice in this context. Replication involves creating and maintaining copies of data in multiple locations for redundancy or performance reasons, rather than specifically moving infrequently used data to a less costly storage environment.",Transformation,"Transformation is not the correct choice in this context. While transformation is a crucial part of the ETL process, it specifically refers to changing the structure or format of data during the extraction, transformation, and loading stages, rather than moving data to a different storage environment.",Streaming,"Streaming is not the correct choice for this situation. Streaming refers to the real-time processing and delivery of data, rather than the process of moving and transforming infrequently used data to a more cost-effective storage environment.",Load,"Load is not the correct choice for this scenario. Loading typically refers to the process of importing data into a database or data warehouse, rather than moving data to a different storage environment for cost optimization purposes.",Archiving,Archiving is the correct choice because it involves moving and potentially transforming infrequently used data to a cheaper storage environment. This process helps optimize storage costs and keeps the primary data storage environment efficient for more frequently accessed data.,5,8 Data Integration & Interoperability
111,RDFS and OWL are languages for developing,Hierarchies,"Hierarchies represent a specific type of organizational structure where entities are arranged in a top-down, tree-like fashion based on their relationships and levels of abstraction. While RDFS and OWL can be used to define hierarchical relationships within ontologies, their capabilities extend beyond simple hierarchies to include more complex semantics and constraints.",Glossaries,"Glossaries are lists of terms and their definitions, similar to dictionaries. RDFS and OWL are not specifically designed for developing glossaries but rather for creating formal ontologies that capture the semantics and relationships within a domain in a more structured and expressive manner.",Dictionaries,"Dictionaries typically consist of a collection of terms and their definitions, which may not require the expressive power provided by RDFS and OWL for developing ontologies. While ontologies can include definitions of terms, RDFS and OWL are more focused on defining relationships and constraints between concepts.",Ontologies,"RDFS and OWL are languages specifically designed for developing ontologies, which are formal representations of knowledge that include concepts, relationships, and constraints within a specific domain. These languages provide the necessary constructs to define classes, properties, and relationships in a structured and semantically rich manner.",Taxonomies,"Taxonomies are hierarchical structures that organize and classify concepts or entities based on their relationships and characteristics. While RDFS and OWL can be used to create taxonomies within ontologies, their primary purpose is to define more complex relationships and constraints beyond simple hierarchical structures.",4,9 Document & Content Management
112,"Which Enterprise Architecture Domain consists of business systems, software packages and databases?",Enterprise Information Area,"Enterprise Information Area is not a recognized domain within Enterprise Architecture. It does not specifically address the combination of business systems, software packages, and databases as mentioned in the question.",Enterprise Applications Architecture,"Enterprise Applications Architecture focuses on business systems, software packages, and databases within an organization. It deals with the design and integration of applications to support business processes and functions, making it the correct choice for this question.",Enterprise Data Architecture,"Enterprise Data Architecture primarily focuses on the organization's data assets, including data models, data storage, data integration, and data governance. While databases are part of data architecture, it does not encompass business systems and software packages.",Enterprise Business Architecture,"Enterprise Business Architecture focuses on defining the organization's business strategy, processes, and capabilities. While business systems are part of the business architecture, it does not specifically include software packages and databases.",Enterprise Technology Architecture,"Enterprise Technology Architecture deals with the overall technology infrastructure, including hardware, software, networks, and IT systems. While databases and software packages are components of technology architecture, it is not specifically focused on business systems.",2,4 Data Architecture
113,"Latency is the time difference between when data is generated in the source system, and when it is available for use in the target system. If no time delay is acceptable, and the source and target must be in synch, then we say latency is",Asynchronous,Asynchronous latency refers to a delay in data processing where the source and target systems do not need to be in sync in real-time. This type of latency allows for flexibility in data processing and does not require immediate synchronization.,Batch,"Batch latency involves processing data in batches rather than real-time, which can introduce delays between data generation and availability in the target system. While batch processing can be efficient for certain use cases, it may not be suitable when immediate data synchronization is required.",Low,"When data must be available for immediate use without any delay, we refer to the latency as low. This means that the time difference between data generation and availability in the target system is minimal, ensuring synchronization between the source and target systems.",High,High latency indicates a significant time delay between data generation in the source system and its availability in the target system. This delay can lead to synchronization issues and may not be acceptable when real-time data processing is required.,Unacceptable,"If no time delay is acceptable and data must be in sync between the source and target systems, any level of latency would be considered unacceptable. In this scenario, the latency needs to be minimized to ensure immediate data availability.",3,8 Data Integration & Interoperability
114,Which Clarity is required with the direction of lines on Architectural Designs?,Linear Symmetry,"Linear symmetry is not directly related to the clarity of line direction in architectural designs. While symmetry can play a role in overall design aesthetics, the primary focus should be on ensuring clear and consistent line direction.",Line direction must be Clear & Consistent,Line direction in architectural designs must be clear and consistent to ensure readability and understanding of the design. Consistency in line direction helps maintain a cohesive and organized visual representation of the architecture.,"Consistency, Clear & Crossing","While consistency and clarity are essential for line direction in architectural designs, line crossing display is not a necessary component. It is important to prioritize clear and consistent line direction over unnecessary visual elements like line crossings.",Line Crossing display,"Line crossing display is not a requirement for clarity in architectural designs. In fact, avoiding unnecessary line crossings can help improve the readability and overall aesthetics of the design.",All the options,This choice is incorrect as not all options are necessary for the clarity of line direction in architectural designs. The focus should be on ensuring clarity and consistency rather than incorporating all possible options.,2,4 Data Architecture
115,One of the goals of Document and Content management is,To communicate legal obligations and customer expectations regarding Records management.,"Communicating legal obligations and customer expectations regarding Records management is important in Document and Content management, but it is not the sole goal. The main objective is to actually implement processes and systems that ensure compliance and effective management of documents and content.",To enforce legal requirements regarding Records management.,"Enforcing legal requirements regarding Records management is a part of Document and Content management, but it is not the only goal. The broader goal is to manage all documents and content in a way that meets legal obligations and customer expectations.",To integrate all unstructured information with all structured information.,"Integrating all unstructured information with all structured information is not the primary goal of Document and Content management. While integration may be a part of the process, the main focus is on managing and organizing documents and content effectively.",To integrate only Records with structured information,"Integrating only Records with structured information is not the complete goal of Document and Content management. While integrating records with structured data may be necessary, the overall objective is to manage all types of documents and content effectively, regardless of their format or structure.",To comply with legal obligations and customer expectations regarding Records management.,"Document and Content management aims to comply with legal obligations and customer expectations regarding Records management by ensuring that all documents and content are properly managed, stored, and retained according to regulatory requirements and industry standards.",5,9 Document & Content Management
116,"What is the type of data required to manage data as an asset, which describes what data the organisation has, and which is embedded in data architecture, data models, data security requirements and data standards?",Operational Data,"Operational Data refers to the data used in day-to-day operations of an organization to perform its core functions. While important, operational data does not specifically describe what data the organization has or provide the necessary details for managing data as an asset.",Metadata,"Metadata is the correct choice as it refers to the data that describes other data. In the context of managing data as an asset, metadata is essential for understanding what data the organization has, how it is structured, and how it should be secured and governed. It is embedded in data architecture, data models, data security requirements, and data standards.",Business Data,"Business Data refers to the data that supports the business processes and operations of an organization. While crucial for day-to-day activities, business data does not specifically describe what data the organization has or provide the detailed information needed for managing data as an asset.",Reference Data,"Reference Data is data used to categorize other data and provide context. While useful for data management, reference data does not specifically describe what data the organization has or provide the detailed information embedded in data architecture, data models, data security requirements, and data standards.",Master Data,"Master Data represents the consistent and uniform set of data that is shared across an organization. While important for data management, master data focuses on key entities and attributes, rather than describing the overall data assets of the organization.",2,1 Data Management
117,"According to the DMBOK definition, what do we use Master Blueprints for?","Guide, Control & Align","Master Blueprints are used to guide, control, and align data management activities within an organization. They serve as a roadmap for data management initiatives, ensuring that all efforts are in line with the organization's goals and objectives.","Embed, Relate, & Govern","Master Blueprints focus on guiding, controlling, and aligning data management activities, rather than embedding, relating, or governing them within an organization.","Describe, Design & Guide","While Master Blueprints may involve describing and designing data management processes, their primary purpose is to guide these processes rather than solely describe or design them.","Identify, Design & Guide",Master Blueprints are not solely focused on identifying and designing data management processes. Their main function is to guide and align these processes within the organization.,"Arrange, Optimize & Reduce","Master Blueprints are not primarily used to arrange, optimize, or reduce data management activities. Their main purpose is to provide guidance and alignment for these activities.",1,4 Data Architecture
118,"In the Data Management Practices Hierarchy, advanced data practices include the following except:",Warehousing,Warehousing refers to the process of storing and managing data in a centralized repository for easy access and analysis. It is classified as an advanced data practice in the Data Management Practices Hierarchy.,Big Data,Big Data involves the management and analysis of large volumes of structured and unstructured data to extract valuable insights and information. It is considered an advanced data practice in the Data Management Practices Hierarchy.,Data Quality,"Data Quality is actually considered a fundamental aspect of data management practices, focusing on ensuring the accuracy, completeness, and consistency of data. It is not classified as an advanced data practice in the Data Management Practices Hierarchy.",Data Mining,"Data Mining refers to the process of discovering patterns, trends, and insights from large datasets using various algorithms and techniques. It is classified as an advanced data practice in the Data Management Practices Hierarchy.",Analytics,"Analytics involves the use of data analysis tools and techniques to gain insights, make informed decisions, and drive business strategies. It is considered an advanced data practice in the Data Management Practices Hierarchy.",3,1 Data Management
119,"An insurance company installs trackers in cars to encourage good driving. The clients agree. The insurance company has a life insurance division which decides to use that data to monitor its client's lifestyles, unbeknown to them. Which GDPR principle does this violate?",Integrity and Confidentiality,"The GDPR principle of Integrity and Confidentiality relates to the security and protection of personal data against unauthorized or unlawful processing and against accidental loss, destruction, or damage. While the scenario may raise concerns about confidentiality, the primary violation is related to the Purpose Limitation principle.",Accountability,"The GDPR principle of Accountability requires that data controllers are responsible for demonstrating compliance with the GDPR principles and must implement appropriate technical and organizational measures to ensure and demonstrate that processing is performed in accordance with the regulation. While the scenario may involve a lack of accountability, the specific violation in this case is related to the Purpose Limitation principle.",Data Minimisation,"The GDPR principle of Data Minimisation requires that personal data collected should be adequate, relevant, and limited to what is necessary in relation to the purposes for which they are processed. By using the driving data to monitor client lifestyles without their knowledge, the insurance company is not adhering to the principle of Data Minimisation.",Storage Limitation,"The GDPR principle of Storage Limitation states that personal data should be kept in a form that permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed. While the scenario involves using data for a different purpose, it does not directly violate the principle of Storage Limitation.",Purpose Limitation,"The GDPR principle of Purpose Limitation states that personal data should be collected for specified, explicit, and legitimate purposes and not further processed in a manner that is incompatible with those purposes. In this scenario, the insurance company is using the data collected for good driving to monitor client lifestyles, which goes beyond the original purpose agreed upon by the clients.",5,2 Data Handling Ethics
120,"""Schema on write"" means",The database structure becomes clear when the data is written.,"The statement that the database structure becomes clear when the data is written does not accurately describe the concept of ""schema on write."" In this approach, the data structure is predefined before writing, rather than being determined during the writing process.","In order to write data, the structure has to be known in advance.","""Schema on write"" refers to the approach where the structure of the data must be defined and known before writing it to the database. This means that the schema or data model needs to be established in advance to ensure data integrity and consistency.",The data unstructured until it is written.,"The idea that the data remains unstructured until it is written does not align with the concept of ""schema on write."" With schema on write, the data structure is defined and enforced before the data is actually written to the database.",We are dealing with a NoSQL database.,"The statement that dealing with a NoSQL database is related to ""schema on write"" is not accurate. While NoSQL databases may offer more flexibility in terms of schema design, the concept of ""schema on write"" is not exclusive to NoSQL databases and can be applied in various database systems.",In order to write data we must turn the schema setting on.,"The notion that we need to turn on a schema setting in order to write data does not accurately represent the concept of ""schema on write."" In this approach, the schema or structure of the data is established beforehand, regardless of any specific setting.",2,6 Data Storage and Operations
121,"Which architectural artefact documents relationships between data and applications within a business process, data stores and business roles?",The conceptual enterprise data model,"The conceptual enterprise data model focuses on high-level business concepts and their relationships, rather than specific applications or processes. It does not specifically document the relationships between data and applications within a business process.",Data Flow,"Data Flow documents the relationships between data and applications within a business process, data stores, and business roles. It illustrates how data moves through different systems and processes, showing the flow of data from its source to its destination.",Data value chain,"Data value chain outlines the sequence of activities involved in the production and delivery of a product or service, including the flow of data. However, it does not specifically document the relationships between data and applications within a business process.",Data lineage,"Data lineage tracks the origin and movement of data throughout its lifecycle, showing how data is created, transformed, and used. While it is related to understanding data relationships, it does not specifically focus on the relationships between data and applications within a business process.",The logical enterprise data model,"The logical enterprise data model defines the structure and relationships of data in a business context, but it does not specifically document the relationships between data and applications within a business process.",2,4 Data Architecture
122,"What is the DBA called who collaborates with data analysts, modellers and architects?",Application DBA,"An Application DBA is responsible for collaborating with data analysts, modellers, and architects to ensure that the database systems meet the needs of the applications and users. They focus on the performance, security, and availability of the database in the context of the applications that use it.",Development DBA,"A Development DBA is responsible for designing, implementing, and maintaining the development and test database environments. They work closely with developers to optimize database performance in the development process, but they may not collaborate as closely with data analysts, modellers, and architects.",DevOps DBA,"A DevOps DBA focuses on integrating database administration tasks into the DevOps process, ensuring that database changes are managed efficiently and effectively. While they may collaborate with various teams, their primary focus is on automation and streamlining database operations within the DevOps framework.",Procedural DBA,"A Procedural DBA is a term not commonly used in the context of database administration roles. It does not specifically refer to a role that collaborates with data analysts, modellers, and architects.",Production DBA,"A Production DBA is primarily focused on ensuring the smooth operation and performance of the production database systems. While they may interact with data analysts, modellers, and architects in certain situations, their main responsibility is to keep the production environment running smoothly.",1,6 Data Storage and Operations
